scheme,episode,bilibili
/anime/49220/Isekai_Ojisan,7,
/anime/49596/Blue_Lock,12,/2069747
/anime/48549/Dr_Stone__New_World,0,
/anime/52173/Koori_Zokusei_Danshi_to_Cool_na_Douryou_Joshi,1,
/anime/51815/Kubo-san_wa_Mob_wo_Yurusanai,0,/2073746
/anime/48417/Maou_Gakuin_no_Futekigousha__Shijou_Saikyou_no_Maou_no_Shiso_Tensei_shite_Shison-tachi_no_Gakkou_e_Kayou_II,1,
/anime/52034/Oshi_no_Ko,0,
/anime/51252/Spy_Kyoushitsu,1,/2073095
/anime/51940/Boku_to_Roboko,0,
/anime/37510/Mob_Psycho_100_II,13,
/anime/50608/Tokyo_Revengers__Seiya_Kessen-hen,0,
